Branch,Mean_dNdS,RateClasses,OmegaOver1,WtOmegaOver1,LRT,p,p_Holm,BranchLength
296234343,1.908963068786083e-07,1,0,0,0,1,1,0.003060004846280375
296203331,0.3271086532673365,1,0,0,0,1,1,0.02060663868613931
Node16,0.01670329679840871,1,0,0,0,1,1,0.0357436088525095
55667103,0.5864733200301294,1,0,0,0,1,1,0.02424111281588272
Node15,1.238365919362713e-07,1,0,0,0,1,1,0.004632779421528573
62897053,10,1,1025697.779370708,1,0.6153454236300604,0.2163911166377601,1,0.001683958570841119
Node14,1,1,0,0,0,1,1,2.21553816296417e-09
114632810,0.3381354975194782,1,0,0,0,1,1,0.03413097583468548
114645459,0.3798004671624278,1,0,0,0,1,1,0.02567845303633005
114649907,0.1701769649504586,1,0,0,0,1,1,0.01018513926378353
Node24,1,1,0,0,0,1,1,2.21553816296417e-09
Node22,10,1,980763.1646607065,1,0.4853955188591499,0.2429942397297911,1,0.001610186349327057
109121027,2.459738408130273,1,2.572223785285756,1,0.6923088299645315,0.2026900853196902,1,0.01166377784621576
306482619,7.535863755705172e-08,1,0,0,0,1,1,0.00771348855184234
Node27,0.0374665593114339,1,0,0,0,1,1,0.01679100106261703
Node21,1.752495581475171e-07,1,0,0,0,1,1,0.003311653883259704
Node13,1,1,0,0,0,1,1,2.21553816296417e-09
114678451,1,1,0,0,0,1,1,2.21553816296417e-09
Node12,1,1,0,0,0,1,1,2.21553816296417e-09
297697516,5.856031892612363e-08,1,0,0,0,1,1,0.009914828618273601
Node11,1,1,0,0,0,1,1,2.21553816296417e-09
6912634,1,1,0,0,0,1,1,2.21553816296417e-09
Node10,1,1,0,0,0,1,1,2.21553816296417e-09
38114878,1,1,0,0,0,1,1,2.21553816296417e-09
Node9,1,1,0,0,0,1,1,2.21553816296417e-09
297667469,1,1,0,0,0,1,1,2.21553816296417e-09
297667481,1,1,0,0,0,1,1,2.21553816296417e-09
Node39,0.09113996100186707,1,0,0,0,1,1,0.01583893605807634
297274291,0.6929686496954086,1,0,0,0,1,1,0.08079741233024422
Node38,1.64296011270714,1,1.909991290492092,1,0.1113395504580694,0.3693121002025858,1,0.006023527290679524
291415442,0.02002821612188445,2,0,0,0,1,1,0.2221263105244559
73989282,0.3539937116612419,2,3334.141186179027,0.1944078024710963,15.94833637281226,3.254748171610533e-05,0.002603798537288426,204.4309939406023
Node43,2.253203313885676e-08,1,0,0,0,1,1,0.02162666716513391
Node37,1,1,0,0,0,1,1,2.21553816296417e-09
23491731,2.424710729542197e-07,1,0,0,0,1,1,0.002402374383999037
Node36,1,1,0,0,0,1,1,2.21553816296417e-09
297697532,4.779381267509443e-08,1,0,0,0,1,1,0.01217520700471005
Node35,1,1,0,0,0,1,1,2.21553816296417e-09
111494155,10,1,1451631.966667573,1,0.5932573028876504,0.2205811484839073,1,0.00238324377487521
Node34,1,1,0,0,0,1,1,2.21553816296417e-09
Node8,1,1,0,0,0,1,1,2.21553816296417e-09
114663280,10,1,2053941.756033099,1,1.230125814123312,0.1336912858382845,1,0.003372096833656911
55729273,0.1142732800148589,1,0,0,0,1,1,0.0132701712713995
Node49,1,1,0,0,0,1,1,2.21553816296417e-09
Node7,0.009820521860846889,1,0,0,0,1,1,0.05726226191135293
301764969,1.831458996873235e-08,1,0,0,0,1,1,0.03403586392936755
Node6,1,1,0,0,0,1,1,2.21553816296417e-09
149757870,0.02351622350881825,1,0,0,0,1,1,0.0514899371607929
Node5,0.1587294133562668,1,0,0,0,1,1,0.008181350808582039
52078403,0.02291906867615653,1,0,0,0,1,1,0.0529202381663299
163869618,1,1,0,0,0,1,1,2.21553816296417e-09
Node56,1,1,0,0,0,1,1,2.21553816296417e-09
460776,10,1,1030022.303288167,1,0.6462588718859479,0.2107267073278716,1,0.001691058436689322
Node55,0.01955877990775562,1,0,0,0,1,1,0.1244844943537749
74268378,0.02890527341687561,1,0,0,0,1,1,0.04583626037237201
Node54,10,1,1919433.309311565,1,0.02161374592469656,0.441559639762313,1,0.002276832623434033
Node4,0.258203883837903,2,9999.999999998339,0.008010004964047135,9.837204069564905,0.0008550862047604357,0.06669672397131399,0.3239130599178874
89272927,1,1,0,0,0,1,1,2.21553816296417e-09
62858175,1,1,0,0,0,1,1,2.21553816296417e-09
Node65,0.0162096213538306,1,0,0,0,1,1,0.04123436913378428
27697097,0.05393746374363882,2,14.19412228867901,0.01442284844173625,5.656861778041275,0.008693603373842729,0.6694074597858901,0.06275730606529034
Node64,0.05619453734958595,2,12.01334756543675,0.0300897822279782,3.093174567136884,0.03931064242320281,1,0.1659462952049679
15293895,0.0223966697997512,2,768.7815706937453,0.00988265881354955,0.8544642983397353,0.1776462347819858,1,5.034933940649212
28838762,0.6218029382720106,2,101.3140450934828,0.019089319147085,2.756686060727588,0.04842433398699519,1,0.04941361164062497
Node69,0.03738411487203287,2,34.45234506713423,0.0152901842971106,2.337338530827765,0.06315259261202377,1,0.4487574662288534
Node63,0.04464103044970191,2,72.33082111534287,0.01679000294715627,0.2936559623558423,0.2939435864137289,1,0.4066124804825783
149445952,0.01199409542788459,2,26.31585188258409,0.01732863690061093,0.7191946131533768,0.198204108899967,1,0.6108324474489683
Node62,0.2124616047347666,1,0,0,0,1,1,0.03604756321153976
126330006,0.01072165078030642,1,0,0,0,1,1,0.2615295547789792
Node61,0.09405881850144053,2,4.431107150295656,0.02601423948185388,0.9766946882737102,0.1615080995333147,1,0.03597469009083778
Node3,10,1,0,0,0,1,1,0
197128903,0.09674778217425388,1,0,0,0,1,1,0.007516773103090458
197128902,1.637906622849406e-07,1,0,0,0,1,1,0.003652978203543518
Node74,0.0439080465392624,2,124.8668430282004,0.06423712565577289,2.774392387880653,0.04789149937125431,1,8.903736051344474
Node2,10,2,9999.999999998339,0.05195165823431447,12.41979806907148,0.0002124030854243619,0.01677984374852459,1.373581478784687
5441545,0.04699234673566996,1,0,0,0,1,1,0.0471175277833473
194388444,0.3063782595185818,2,19.40495839133695,0.157341059015205,19.69084754712458,4.551816711328982e-06,0.0003686971536176475,0.7383770474461121
Node77,10,1,4462190.184362005,1,0.2465291825501481,0.3097648299582663,1,0.007325882521197924
Node1,0.07959664669222895,1,0,0,0,1,1,0.2782932111246676
297303207,5.352078163676504e-05,2,702.7279704656844,0.2711635387635911,3.988401505459478,0.02290725434567531,1,134.8618234549208
260791482,0.08682646885774012,2,202.516674246843,0.1038042689778853,3.123395627217178,0.03858790277236795,1,13.33613246981285
302191682,9.540004293163543e-08,1,0,0,0,1,1,0.007969961658331611
296219467,10,1,2211206.937558704,1,1.082827692722276,0.1490329210421327,1,0.004693817988925759
296237491,10,1,11312939.9214941,1,2.246893704706963,0.06694145850042477,1,0.02401443013943048
301789049,0.09343512534499618,2,248.5019908851044,0.09189646494905379,10.06720565510113,0.0007546588451947112,0.04226089533090382,10.07710574592209
Node15,0.1003081845339965,1,0,0,0,1,1,0.009148206311237498
Node13,10,1,1111431.631063775,1,0.539446459923056,0.2313311110014987,1,0.002359281018109943
296191204,1.040414330311915e-07,1,0,0,0,1,1,0.00694662232846015
Node12,2.384250076422287e-08,1,0,0,0,1,1,0.03028080886841464
Node10,3.639906149203914e-07,1,0,0,0,1,1,0.001937328004613583
109048692,2.466427057999972,1,8861835.696023917,1,1.226294072659584,0.1340644826031535,1,0.01881137329691952
194687604,0.2134397452366935,2,3333.111125924368,0.152154460933201,19.62915869637982,4.701164440623629e-06,0.0002773687019967941,168.8741597044481
Node21,1,1,0,0,0,1,1,2.82428962729965e-09
74353845,5.328056909342805e-09,1,0,0,0,1,1,0.1382974651906754
Node20,1,1,0,0,0,1,1,0.002776865151760407
4503453,4.376207040393482e-08,1,0,0,0,1,1,0.01616462865294553
Node19,1,1,0,0,0,1,1,2.82428962729965e-09
